CustomerID,Name,Region,Latitude,Longitude,Segment
C001,Customer Zone 1,North,18.7601,99.0219,Premium
C002,Customer Zone 2,North,19.9336,99.8184,Standard
C003,Customer Zone 3,North,18.3185,99.543,Standard
C004,Customer Zone 4,North,18.1244,100.1432,Standard
C005,Customer Zone 5,North,18.7327,100.7813,Premium
C006,Customer Zone 6,North,19.2758,97.9919,Standard
C007,Customer Zone 7,North,17.5874,100.0806,Standard
C008,Customer Zone 8,North,16.9584,99.7798,Standard
C009,Customer Zone 9,Central,13.756,100.4986,Premium
C010,Customer Zone 10,Central,13.8249,100.4902,Standard
C011,Customer Zone 11,Central,13.9711,100.5131,Standard
C012,Customer Zone 12,Central,13.6067,100.5925,Standard
C013,Customer Zone 13,Central,13.8531,100.0761,Premium
C014,Customer Zone 14,Central,14.3298,100.6,Standard
C015,Customer Zone 15,Central,14.4743,100.1436,Standard
C016,Customer Zone 16,Central,14.5355,100.9042,Standard
C017,Customer Zone 17,Central,14.7891,100.6056,Premium
C018,Customer Zone 18,Central,15.6999,100.1491,Standard
C019,Customer Zone 19,Central,14.0673,99.5263,Standard
C020,Customer Zone 20,Central,13.5268,99.8153,Premium
C021,Customer Zone 21,East,13.352,100.9926,Premium
C022,Customer Zone 22,East,12.6384,101.2804,Standard
C023,Customer Zone 23,East,12.6223,102.1283,Standard
C024,Customer Zone 24,East,12.2358,102.4981,Standard
C025,Customer Zone 25,East,13.7746,102.0901,Premium
C026,Customer Zone 26,East,14.0087,101.3711,Standard
C027,Customer Zone 27,East,13.6708,101.112,Standard
C028,Customer Zone 28,South,9.1832,99.3034,Premium
C029,Customer Zone 29,South,8.4702,99.9469,Standard
C030,Customer Zone 30,South,7.9116,98.4222,Standard
C031,Customer Zone 31,South,8.1018,98.8792,Premium
C032,Customer Zone 32,South,7.5283,99.6036,Standard
C033,Customer Zone 33,South,7.1549,100.6324,Standard
C034,Customer Zone 34,South,6.9765,100.4277,Premium
C035,Customer Zone 35,South,6.8752,101.2429,Standard
