CustomerID,ProductID,Week,DemandQty
C001,SKU01,1,216
C001,SKU01,2,198
C001,SKU01,3,174
C001,SKU01,4,144
C001,SKU01,5,138
C001,SKU01,6,132
C001,SKU01,7,168
C001,SKU01,8,174
C001,SKU01,9,192
C001,SKU01,10,180
C001,SKU02,1,216
C001,SKU02,2,210
C001,SKU02,3,216
C001,SKU02,4,216
C001,SKU02,5,210
C001,SKU02,6,204
C001,SKU02,7,180
C001,SKU02,8,168
C001,SKU02,9,180
C001,SKU02,10,174
C001,SKU03,1,186
C001,SKU03,2,180
C001,SKU03,3,174
C001,SKU03,4,144
C001,SKU03,5,144
C001,SKU03,6,144
C001,SKU03,7,138
C001,SKU03,8,168
C001,SKU03,9,168
C001,SKU03,10,174
C001,SKU04,1,222
C001,SKU04,2,198
C001,SKU04,3,168
C001,SKU04,4,162
C001,SKU04,5,192
C001,SKU04,6,198
C001,SKU04,7,204
C001,SKU04,8,228
C001,SKU04,9,210
C001,SKU04,10,240
C001,SKU05,1,168
C001,SKU05,2,144
C001,SKU05,3,144
C001,SKU05,4,144
C001,SKU05,5,144
C001,SKU05,6,180
C001,SKU05,7,192
C001,SKU05,8,204
C001,SKU05,9,204
C001,SKU05,10,186
C001,SKU06,1,168
C001,SKU06,2,186
C001,SKU06,3,198
C001,SKU06,4,222
C001,SKU06,5,222
C001,SKU06,6,210
C001,SKU06,7,216
C001,SKU06,8,180
C001,SKU06,9,162
C001,SKU06,10,174
C001,SKU07,1,90
C001,SKU07,2,72
C001,SKU07,3,84
C001,SKU07,4,78
C001,SKU07,5,72
C001,SKU07,6,78
C001,SKU07,7,102
C001,SKU07,8,102
C001,SKU07,9,102
C001,SKU07,10,102
C001,SKU08,1,90
C001,SKU08,2,78
C001,SKU08,3,84
C001,SKU08,4,72
C001,SKU08,5,72
C001,SKU08,6,72
C001,SKU08,7,84
C001,SKU08,8,90
C001,SKU08,9,102
C001,SKU08,10,102
C001,SKU09,1,120
C001,SKU09,2,114
C001,SKU09,3,132
C001,SKU09,4,126
C001,SKU09,5,108
C001,SKU09,6,102
C001,SKU09,7,90
C001,SKU09,8,96
C001,SKU09,9,96
C001,SKU09,10,96
C001,SKU10,1,72
C001,SKU10,2,78
C001,SKU10,3,72
C001,SKU10,4,78
C001,SKU10,5,90
C001,SKU10,6,90
C001,SKU10,7,96
C001,SKU10,8,102
C001,SKU10,9,90
C001,SKU10,10,78
C001,SKU11,1,72
C001,SKU11,2,90
C001,SKU11,3,96
C001,SKU11,4,102
C001,SKU11,5,114
C001,SKU11,6,108
C001,SKU11,7,90
C001,SKU11,8,96
C001,SKU11,9,84
C001,SKU11,10,84
C001,SKU12,1,90
