FromID,FromType,ToID,ToType,Distance_km
P01,Plant,RDC01,RegionalDC,12.3
P01,Plant,RDC02,RegionalDC,582.5
P01,Plant,RDC03,RegionalDC,640.1
P01,Plant,RDC04,RegionalDC,1080.9
P01,Plant,RDC05,RegionalDC,153.7
P01,Plant,RDC06,RegionalDC,571.5
P01,Plant,RDC07,RegionalDC,1319.7
P02,Plant,RDC01,RegionalDC,529.6
P02,Plant,RDC02,RegionalDC,66.8
P02,Plant,RDC03,RegionalDC,119.1
P02,Plant,RDC04,RegionalDC,604.7
P02,Plant,RDC05,RegionalDC,622.8
P02,Plant,RDC06,RegionalDC,54.9
P02,Plant,RDC07,RegionalDC,816.7
P03,Plant,RDC01,RegionalDC,653.0
P03,Plant,RDC02,RegionalDC,78.2
P03,Plant,RDC03,RegionalDC,12.5
P03,Plant,RDC04,RegionalDC,518.1
P03,Plant,RDC05,RegionalDC,740.5
P03,Plant,RDC06,RegionalDC,84.3
P03,Plant,RDC07,RegionalDC,709.7
P04,Plant,RDC01,RegionalDC,1079.0
P04,Plant,RDC02,RegionalDC,529.4
P04,Plant,RDC03,RegionalDC,503.4
P04,Plant,RDC04,RegionalDC,11.2
P04,Plant,RDC05,RegionalDC,1199.1
P04,Plant,RDC06,RegionalDC,541.1
P04,Plant,RDC07,RegionalDC,268.7
RDC01,RegionalDC,LDC01,LocalDC,94.5
RDC01,RegionalDC,LDC02,LocalDC,149.1
RDC01,RegionalDC,LDC03,LocalDC,203.6
RDC01,RegionalDC,LDC04,LocalDC,562.1
RDC01,RegionalDC,LDC05,LocalDC,605.8
RDC01,RegionalDC,LDC06,LocalDC,569.2
RDC01,RegionalDC,LDC07,LocalDC,524.2
RDC01,RegionalDC,LDC08,LocalDC,727.6
RDC01,RegionalDC,LDC09,LocalDC,774.1
RDC01,RegionalDC,LDC10,LocalDC,691.3
RDC01,RegionalDC,LDC11,LocalDC,1165.5
RDC01,RegionalDC,LDC12,LocalDC,1219.1
RDC01,RegionalDC,LDC13,LocalDC,1250.8
RDC01,RegionalDC,LDC14,LocalDC,1303.8
RDC02,RegionalDC,LDC01,LocalDC,510.9
RDC02,RegionalDC,LDC02,LocalDC,494.4
