LocDCID,Name,Region,Latitude,Longitude,MaxSpace_m3,MaxThroughput_units,FixedCost_weekly,HandlingCost_per_unit,OpeningCost
LDC01,Local DC 1,North,18.2564,99.5377,3200,3960,5500,2.8,55000
LDC02,Local DC 2,North,18.1868,100.1182,2800,3465,5000,3.0,50000
LDC03,Local DC 3,North,18.8076,100.812,2600,3135,4700,3.2,47000
LDC04,Local DC 4,Central,14.0221,100.4995,4800,6270,7800,2.4,78000
LDC05,Local DC 5,Central,13.6315,100.5712,5200,6600,8200,2.3,82000
LDC06,Local DC 6,Central,13.8437,100.0775,4200,5280,6800,2.6,68000
LDC07,Local DC 7,Central,14.3959,100.5421,4500,5610,7000,2.5,70000
LDC08,Local DC 8,East,12.7113,101.2834,3600,4620,6200,2.7,62000
LDC09,Local DC 9,East,12.5845,102.0705,3000,3630,5300,3.0,53000
LDC10,Local DC 10,East,12.9234,100.8908,4000,5115,6600,2.5,66000
LDC11,Local DC 11,South,8.3988,99.9146,3300,4125,5700,2.9,57000
LDC12,Local DC 12,South,7.8775,98.4151,3800,4785,6400,2.6,64000
LDC13,Local DC 13,South,7.6064,99.6238,2700,3300,4900,3.3,49000
LDC14,Local DC 14,South,7.2314,100.6316,3100,3795,5400,3.1,54000
