PlantID,ProductID,MaxProduction_per_week
P01,SKU01,2813
P01,SKU02,2843
P01,SKU03,3153
P01,SKU04,3399
P01,SKU05,3288
P01,SKU06,3128
P01,SKU07,1899
P01,SKU09,1908
P01,SKU10,2140
P01,SKU11,1567
P01,SKU13,2275
P01,SKU16,984
P01,SKU18,1598
P01,SKU19,1515
P02,SKU01,2900
P02,SKU02,3119
P02,SKU03,3275
P02,SKU04,3248
P02,SKU08,2014
P02,SKU10,1549
P02,SKU11,2256
P02,SKU14,2103
P02,SKU15,968
P02,SKU16,920
P02,SKU17,1094
P02,SKU18,1306
P03,SKU02,3063
P03,SKU03,2896
P03,SKU05,2917
P03,SKU07,2417
P03,SKU08,1480
P03,SKU09,1558
P03,SKU10,1952
P03,SKU11,2370
P03,SKU12,1591
P03,SKU13,2401
P03,SKU14,2042
P03,SKU15,1267
P03,SKU16,870
P03,SKU18,1484
P03,SKU19,955
P03,SKU20,1393
P04,SKU01,3145
P04,SKU02,2910
P04,SKU04,2333
P04,SKU07,2034
P04,SKU08,1639
P04,SKU09,2190
P04,SKU10,1446
P04,SKU12,2312
P04,SKU14,2127
P04,SKU16,972
P04,SKU17,1484
P04,SKU19,862
P04,SKU20,1091
